91,"13,9",Al2F6,aluminium fluoride,3/30/2022 9:01,3/30/2022 9:01
92,"13,53",Al2I6,aluminium iodide,3/30/2022 9:01,3/30/2022 9:01
93,"13,12,8",Al2MgO4,magnesium aluminium oxide,3/30/2022 9:01,3/30/2022 9:01
94,"13,8",Al2O,dialuminium monoxide,3/30/2022 9:01,3/30/2022 9:01
95,"13,8",Al2O2,dialuminium dioxide,3/30/2022 9:01,3/30/2022 9:01
96,"13,8",Al2O3,aluminium oxide,3/30/2022 9:01,3/30/2022 9:01
97,"13,8,14",Al2O5Si,aluminium silicate,3/30/2022 9:01,3/30/2022 9:01
98,"13,8,14",Al2O5Si,aluminium silicate,3/30/2022 9:01,3/30/2022 9:01
99,"13,8,14",Al2O5Si,andalusite,3/30/2022 9:01,3/30/2022 9:01
100,"13,8,14",Al2O7Si2,aluminium silicate,3/30/2022 9:01,3/30/2022 9:01
101,"13,16",Al2S,dialuminium monosulfide,3/30/2022 9:01,3/30/2022 9:01
102,"13,16",Al2S3,aluminium sulfide,3/30/2022 9:01,3/30/2022 9:01
103,"13,16,8",Al2(SO4)3,aluminium sulfate,3/30/2022 9:01,3/30/2022 9:01
104,"13,34",Al2Se,dialuminium selenide,3/30/2022 9:01,3/30/2022 9:01
105,"13,52",Al2Te,dialuminium telluride,3/30/2022 9:01,3/30/2022 9:01
106,"13,9,11",Al3F14Na5,chiolite,3/30/2022 9:01,3/30/2022 9:01
107,"13,6",Al4C3,,3/30/2022 9:01,3/30/2022 9:01
108,"13,4,8",Al6BeO10,beryllium aluminium oxide,3/30/2022 9:01,3/30/2022 9:01
109,"13,8,14",Al6O13Si2,mullite,3/30/2022 9:01,3/30/2022 9:01
110,"18,17,9",ArClF,argon chloride fluoride,3/30/2022 9:01,3/30/2022 9:01
111,"18,17,1",ArClH,argon chloride hydride,3/30/2022 9:01,3/30/2022 9:01
112,"18,9,1",ArFH,argon fluoride hydride,3/30/2022 9:01,3/30/2022 9:01
113,"33,35,8",AsBrO,arsenic oxybromide,3/30/2022 9:01,3/30/2022 9:01
114,"33,35",AsBr3,arsenic tribromide,3/30/2022 9:01,3/30/2022 9:01
115,"33,17,8",AsClO,arsenic monoxide monochloride,3/30/2022 9:01,3/30/2022 9:01
116,"33,17",AsCl3,arsenic trichloride,3/30/2022 9:01,3/30/2022 9:01
117,"33,17,8",AsCl3O,arsenic oxychloride,3/30/2022 9:01,3/30/2022 9:01
118,"33,17,9",AsCl4F,arsenic tetrachloride fluoride,3/30/2022 9:01,3/30/2022 9:01
119,"33,9",AsF3,arsenic trifluoride,3/30/2022 9:01,3/30/2022 9:01
120,"33,9",AsF5,arsenic pentafluoride,3/30/2022 9:01,3/30/2022 9:01
121,"33,1",AsH3,arsine,3/30/2022 9:01,3/30/2022 9:01
122,"33,53",AsI3,arsenic triiodide,3/30/2022 9:01,3/30/2022 9:01
123,"33,8",AsO,arsenic monoxide,3/30/2022 9:01,3/30/2022 9:01
124,"33,8",AsO2,arsenic dioxide,3/30/2022 9:01,3/30/2022 9:01
125,"33,15",AsP,arsenic monophosphide,3/30/2022 9:01,3/30/2022 9:01
126,"33,15",AsP3,arsenic triphosphide,3/30/2022 9:01,3/30/2022 9:01
127,"33,81",AsTl,thallium arsenide,3/30/2022 9:01,3/30/2022 9:01
128,"33,53",As2I4,arsenic diiodide,3/30/2022 9:01,3/30/2022 9:01
129,"33,8",As2O3,arsenic trioxide,3/30/2022 9:01,3/30/2022 9:01
130,"33,15",As2P2,arsenic diphosphide,3/30/2022 9:01,3/30/2022 9:01
131,"33,8",As2O5,arsenic pentaoxide,3/30/2022 9:01,3/30/2022 9:01
132,"33,16",As2S4,arsenic tetrasulfide,3/30/2022 9:01,3/30/2022 9:01
133,"33,16",As2S5,arsenic pentasulfide,3/30/2022 9:01,3/30/2022 9:01
134,"33,34",As2Se,arsenic hemiselenide,3/30/2022 9:01,3/30/2022 9:01
135,"33,34",As2Se3,arsenic triselenide,3/30/2022 9:01,3/30/2022 9:01
136,"33,34",As2Se5,arsenic pentaselenide,3/30/2022 9:01,3/30/2022 9:01
137,"33,8",As3O4,arsenic tetraoxide,3/30/2022 9:01,3/30/2022 9:01
138,"33,15",As3P,arsenic(III) phosphide,3/30/2022 9:01,3/30/2022 9:01
139,"33,8",As4O3,tetraarsenic trioxide,3/30/2022 9:01,3/30/2022 9:01
140,"33,8",As4O5,tetraarsenic pentaoxide,3/30/2022 9:01,3/30/2022 9:01
141,"33,16",As4S3,tetraarsenic trisulfide,3/30/2022 9:01,3/30/2022 9:01
142,"33,16",As4S4,tetraarsenic tetrasulfide,3/30/2022 9:01,3/30/2022 9:01
143,"79,5,8",AuBO,gold monoboride monoxide,3/30/2022 9:01,3/30/2022 9:01
144,"79,35",AuBr,gold bromide,3/30/2022 9:01,3/30/2022 9:01
145,"79,35",AuBr3,gold tribromide,3/30/2022 9:01,3/30/2022 9:01
146,"79,6,7",AuCN,gold cyanide,3/30/2022 9:01,3/30/2022 9:01
147,"79,17",AuCl,gold chloride,3/30/2022 9:01,3/30/2022 9:01
